자치구,재활용폐기물량,음식물류폐기물량,일반쓰레기량,년도
종로구,103.69999694824219,96.80000305175781,123.9000015258789,2015
중구,187.3000030517578,127.80000305175781,185.20000076293945,2015
용산구,87.69999694824219,77.80000305175781,89.60000133514404,2015
성동구,87.19999694824219,91.80000305175781,80.4000015258789,2015
광진구,146.1999969482422,104.19999694824219,89.00000190734863,2015
동대문구,185.8000030517578,105.80000305175781,116.69999885559082,2015
중랑구,188.3000030517578,99.5999984741211,104.20000171661377,2015
성북구,141.6999969482422,106.9000015258789,110.60000228881836,2015
강북구,64.0999984741211,88.5999984741211,77.5,2015
도봉구,147.8000030517578,96.9000015258789,70.0,2015
노원구,188.1999969482422,162.8000030517578,113.19999694824219,2015
은평구,66.5999984741211,93.19999694824219,67.69999885559082,2015
서대문구,119.69999694824219,82.69999694824219,99.0999984741211,2015
마포구,188.89999389648438,142.5,130.20000171661377,2015
양천구,105.30000305175781,117.19999694824219,100.0,2015
강서구,127.9000015258789,178.8000030517578,127.50000381469727,2015
구로구,64.19999694824219,112.19999694824219,138.3000030517578,2015
금천구,105.69999694824219,65.80000305175781,68.60000151395798,2015
영등포구,88.30000305175781,160.6999969482422,140.89999961853027,2015
동작구,103.80000305175781,106.19999694824219,87.90000343322754,2015
관악구,92.9000015258789,116.80000305175781,128.19999885559082,2015
서초구,196.3000030517578,206.0,160.0,2015
강남구,198.3000030517578,272.20001220703125,242.70000457763672,2015
송파구,176.60000610351562,221.0,178.10000228881836,2015
강동구,173.10000610351562,131.5,107.79999923706055,2015
종로구,119.30000305175781,107.9000015258789,178.79999923706055,2016
중구,186.10000610351562,126.0999984741211,187.0,2016
용산구,89.69999694824219,77.19999694824219,95.20000171661377,2016
성동구,88.80000305175781,87.80000305175781,81.20000076293945,2016
광진구,138.1999969482422,102.5999984741211,85.49999809265137,2016
동대문구,205.60000610351562,105.4000015258789,115.60000038146973,2016
중랑구,190.39999389648438,93.19999694824219,104.30000019073486,2016
성북구,150.60000610351562,103.19999694824219,104.49999713897705,2016
강북구,70.30000305175781,84.5,75.19999694824219,2016
도봉구,156.3000030517578,90.69999694824219,68.10000133514404,2016
노원구,177.6999969482422,158.0,119.39999866485596,2016
은평구,57.29999923706055,91.30000305175781,134.8000030517578,2016
서대문구,115.0,79.80000305175781,103.60000133514404,2016
마포구,190.1999969482422,131.1999969482422,135.19999885559082,2016
양천구,75.5999984741211,111.80000305175781,100.49999809265137,2016
강서구,110.9000015258789,179.89999389648438,134.49999618530273,2016
