자치구,주택수,단독주택수,다가구주택수,아파트수,년도,월세거래수,월세평균임대면적,월세평균보증금액,월세평균임대료액,다가구주택_월세거래수,다가구주택_월세평균임대면적,다가구주택_월세평균보증금액,다가구주택_월세평균임대료액,전세거래수,전세평균임대면적,전세평균보증금액,다가구주택_전세거래수,아파트_전세거래수,다가구주택_전세평균임대면적,아파트_전세평균임대면적,다가구주택_전세평균보증금액,아파트_전세평균보증금액,임대거래수,실거래수,평균실거래가,평균거래면적,다가구주택_실거래수,다가구주택_평균실거래가,다가구주택_평균거래면적,아파트_실거래수,아파트_평균실거래가,아파트_평균거래면적,지가변동률,아파트비율,단독주택비율,단독주택_내_다가구주택_비율,월세비율,다가구주택_전월세비율,다가구주택_실거래비율,아파트_실거래비율
종로구,43554,12991,4148,12462,2016,2337,45.958943089430896,6854.176294394523,56.047068891741546,1100,40.03727272727273,4130.281818181818,46.09909090909091,2281,58.450644454186765,21515.002192021042,861,525,14052.05574912892,37811.04761904762,50.45837398373984,81.25272380952381,4618,2768,49032.25578034682,80.06025289017342,507,78366.46351084813,127.52358974358974,1002,58618.03193612774,83.29794411177646,0.16,0.28612756578041054,0.2982734077237452,0.3192979755215149,0.5060632308358597,1.2775842044134726,0.18316473988439305,0.3619942196531792
중구,38311,6364,2507,22923,2016,2326,48.50229578675838,8685.871883061049,65.30997420464317,789,38.96013941698352,3585.1077313054498,45.38783269961977,2374,59.17181550126369,26525.770429654593,683,979,12391.361639824305,42593.6455566905,47.27790629575403,81.29465781409601,4700,2521,53505.75128917096,83.70631892106307,294,73567.26190476191,129.066462585034,1601,61124.84634603373,90.00379138038726,0.188,0.5983399023779071,0.16611417086476468,0.3939346323067253,0.4948936170212766,1.1551976573938507,0.11662038873462911,0.6350654502181674
용산구,70868,15302,7840,35310,2016,4051,55.34473216489756,9301.396445322143,65.13502838805233,1931,41.88863283272915,2759.456240290005,45.19782496116002,5045,67.27204955401388,28866.915163528247,1575,2019,11475.49015873016,48648.8558692422,49.155942857142854,92.81752352649826,9096,5143,78298.50029165857,91.36961889947501,787,101602.85387547649,142.73193138500636,2562,95570.10226385636,100.18546838407495,0.256,0.49825026810408085,0.2159225602528645,0.5123513266239708,0.44536059806508355,1.226031746031746,0.15302352712424655,0.4981528290880809
성동구,80977,11155,7019,57548,2016,5695,50.08017032484636,9751.63810359965,60.74328358208955,2468,32.84786871961102,2835.6053484602917,37.99878444084279,6807,61.26898780666961,27984.84883208462,2165,3616,10672.032794457275,41914.95022123894,42.97928406466512,77.60285398230089,12502,6916,56363.617553499134,82.19836032388663,609,77183.32512315271,162.83889983579638,5264,60210.07465805471,80.43212196048633,0.243,0.7106709312520839,0.13775516504686516,0.6292245629762439,0.4555271156614942,1.1399538106235565,0.08805668016194332,0.7611336032388664
광진구,82691,16566,12832,30401,2016,7640,42.970222513089006,7020.834162303665,44.77879581151832,4892,37.98129803761243,3502.5500817661487,37.806214227309894,8237,54.17751729998786,21850.821658370765,3940,1797,12072.866243654822,46857.289927657206,44.74280203045686,86.02172509738453,15877,5927,48536.94972161296,85.70748608064788,862,87270.66357308584,206.78168213457076,2453,58939.57725234407,82.39632286995516,0.223,0.36764581393380175,0.20033619136302622,0.7745985753953881,0.481199218996032,1.2416243654822334,0.14543613969967945,0.41386873629154713
동대문구,96464,20325,11171,57350,2016,5525,43.02673122171946,5310.971945701357,45.86190045248869,2840,36.242077464788736,2554.0855633802817,34.88661971830986,6021,55.208681282179036,18661.275701710678,2692,2288,9120.672734026746,32333.621066433567,41.31430906389301,77.7900611888112,11546,7453,37509.32121293439,76.56585401851603,1095,51631.244748858444,134.86164383561643,4448,41920.24977517986,76.83431429856115,0.209,0.5945223088406038,0.21070036490296898,0.5496186961869619,0.47852069980945783,1.0549777117384844,0.14692070307258823,0.5968066550382396
중랑구,102387,20430,14943,50343,2016,5692,46.967545678144766,4534.252108222066,37.78197470133521,3641,44.77572370227959,2710.845921450151,32.947541884097774,7752,55.794167956656345,15710.385577915376,3583,2603,9550.124755791236,24447.42105263158,49.42307563494278,71.64730695351517,13444,6804,34119.016901822455,86.24291446208113,1415,58311.53144876325,177.75065017667845,3318,32721.736889692587,71.57560578661844,0.204,0.4916932813736119,0.19953705060212723,0.731424375917768,0.42338589705444807,1.0161875523304493,0.20796590241034685,0.4876543209876543
성북구,128502,25928,10855,69981,2016,6175,50.184693117408905,6719.397894736842,45.77473684210526,3337,40.957150134851666,2873.882229547498,35.67126161222655,7824,62.0674450408998,21514.756007157463,2937,3605,9490.619679945523,34084.94368932039,47.49029962546817,78.18019972260748,13999,9527,39197.76319932823,81.63906266400755,1357,54699.512896094326,138.92788504053058,5748,43367.49495476687,80.60553757828811,0.152,0.5445907456693281,0.20177117865869793,0.41865936439370566,0.4411029359239946,1.1361933946203608,0.14243728351002413,0.6033378818095938
강북구,93623,18870,10722,32652,2016,3967,45.60990925132342,3801.1802369548777,38.9831106629695,2454,40.78919722901386,1976.700488997555,33.12102689486552,4824,55.8075912106136,15024.997305140962,2213,1456,7946.058743786715,28037.76923076923,46.132959783099864,75.43947802197802,8791,5933,28780.425754255855,75.37237990898366,1159,47546.468507333906,143.20606557377047,2013,35989.517138599105,75.92918529557875,0.177,0.34876045416190465,0.20155303718103457,0.5682034976152623,0.45125696735297466,1.1089019430637144,0.19534805326141919,0.3392887240856228
도봉구,104170,9237,5940,64269,2016,3627,54.20242349048801,4724.422111938241,41.7921146953405,1260,52.67644444444445,2070.597619047619,31.367460317460317,5741,61.72998258143181,17120.97561400453,1344,3281,7259.449404761905,22887.45352026821,55.222678571428574,68.96095092959463,9368,7627,27189.443031336043,71.81322276124294,542,53258.573800738006,189.6222509225092,4793,29824.195493427917,69.9369768412268,0.242,0.6169626571949698,0.0886723624844005,0.6430659304969146,0.38716908625106744,0.9375,0.07106332765176347,0.6284253310607054
