행정동,점포수,연도별_평균_상권_매출금액,연도별_주중_평균_상권_매출금액,연도별_주말_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액,연도별_화요일_평균_상권_매출금액,연도별_수요일_평균_상권_매출금액,연도별_목요일_평균_상권_매출금액,연도별_금요일_평균_상권_매출금액,연도별_토요일_평균_상권_매출금액,연도별_일요일_평균_상권_매출금액,연도별_00_06_시간대_평균_상권_매출금액,연도별_06_11_시간대_평균_상권_매출금액,연도별_11_14_시간대_평균_상권_매출금액,연도별_14_17_시간대_평균_상권_매출금액,연도별_17_21_시간대_평균_상권_매출금액,연도별_21_24_시간대_평균_상권_매출금액,연도별_남성_평균_상권_매출금액,연도별_여성_평균_상권_매출금액,연도별_10대_평균_상권_매출금액,연도별_20대_평균_상권_매출금액,연도별_30대_평균_상권_매출금액,연도별_40대_평균_상권_매출금액,연도별_50대_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액
광장동,11.490196078431373,45068.33132428096,49385.148820756076,30121.477879903905,26258.462993105746,62086.79923651598,25247.533551773507,45001.31871335959,25575.177828067972,31330.646113782546,21995.039447311792,39107.29416074205,60946.18669508915,52883.49613109302,34734.93728792939,28563.673868307556,37252.07702294767,42611.95977516081,28544.878626952966,11423.686541992585,19693.23406749725,28403.983115472198,28529.715966280837,25654.839401478395,58140.39414263395
구의1동,22.512437810945272,22075.896034541325,22189.006877835316,21850.735006641236,22388.35268224104,22110.90260076036,22199.728263489524,22586.068951764813,22594.38276806851,22401.86008610544,20390.038374024178,29758.31358933362,20128.18684249712,21782.290889171065,17875.44793868191,21113.159034544908,28708.649199154806,21152.42534572877,19444.588099018467,12979.18032645521,17406.967143697784,20372.3897269383,21138.547312895313,21936.179373850195,23836.63552555119
구의2동,5.914893617021277,17831.790083041466,17936.545359897314,17774.828671960677,18638.461339449157,17150.311089349205,16940.538489850835,18188.87902142468,19472.303900961233,18008.399821737676,17676.816501304336,29308.559866322914,14671.755878101942,17616.45204896828,18980.87407832377,18680.288879938053,18785.50866897454,16861.145967399058,17327.886971817064,15336.120073792854,13721.220895481956,16655.385897577373,16245.357120752815,18199.475323370723,18753.20927872706
구의3동,17.081521739130434,24613.213439283492,24051.659702188907,25499.32835912721,21431.9271024605,23388.349522521174,23227.62132406077,24062.664618078037,24890.690910006913,25631.1162566502,24763.037023831796,24019.099422801322,18156.300268398772,20177.019009651944,20289.43061082862,26470.301212009963,29845.339279669664,23292.005568555716,20952.4342285801,11283.974444761558,18681.972374457528,20399.057687509292,24950.80303770729,24396.881598611588,24234.24950865848
군자동,27.62142857142857,29767.48921579897,31358.671254942834,22589.675334747746,20152.62322575326,20512.828493370587,20507.746030044247,22672.47114085866,45420.88719513052,22539.455947565548,22406.03038614748,30517.03924897724,11594.535714100002,42755.94639521816,17965.983884524467,22143.613937322694,29274.91124698441,33382.81422379478,19512.261228308114,12915.907810617098,17571.055287318868,25605.954878568362,21401.524305064526,23247.78067817319,41879.66092128689
능동,19.304347826086957,18358.215742769997,18323.089384575916,16327.1400089912,16053.35953158391,18079.389792192473,16469.8967786707,18323.36841514625,16316.276018851257,16713.816933663747,16367.606091362068,21290.68915220276,10859.820770495691,13853.608611544545,14359.185817575459,18818.612371317653,20517.81128877659,17101.649744621034,17313.244756977023,10060.044843728354,13675.527807508674,14851.524108478623,18128.330062885434,17097.90017476481,18790.791142121987
자양1동,15.779761904761905,22418.0836664163,22835.30807187256,21567.87768013073,21453.37236572724,22605.79768992517,26466.10406714625,22395.56421914512,22375.841449735704,22165.898640551983,20955.16862765981,27051.686085577698,17390.68212177613,21734.251447464132,19349.431999650107,21247.507572793846,26968.68705300011,21389.134298078436,21082.012354203613,13017.459418976727,18058.83337989459,20763.42067966106,20942.292181323523,23452.261680155974,22311.347390253395
자양2동,11.598639455782314,19794.32779704544,19337.578238194004,20179.692283610922,17901.075034675276,18037.1821226321,17859.865475739978,20083.443513914637,19534.469086296944,19880.053051564195,20509.67103179048,29535.95878517445,15195.376701425812,14891.723975020857,16145.229845654625,20730.3823066072,25601.27904983316,19333.46759806474,18680.793995460226,12813.439062970345,15261.265754831958,17164.958925586263,19059.313607939315,21002.6734941164,19810.75130072489
자양3동,9.794117647058824,24547.642435562597,24488.60311969708,24631.082847449077,26096.5390935313,22956.833950263303,23134.070289648047,24129.495399968746,24234.079258176393,24040.732904172084,28653.34349241112,41589.15898357163,15392.860610003896,18126.555198762642,25206.333717978276,23551.446061076633,30259.764032823805,24182.659149823394,22980.54434219988,11759.818103175712,18778.57943652398,23458.52765050901,23938.59323959732,24993.865149071706,22242.38981900556
자양4동,14.28,40115.067812238005,39548.85709992935,35237.75345914343,41941.30853361809,41696.980201686136,37681.42744721463,33497.15481385477,41653.48132420079,36100.4821044158,26222.356980121433,65234.48857584063,45709.06912042281,27868.74555377457,42563.411357457204,35344.51839960468,31734.5955749929,42995.414123588256,36941.85676707787,19551.779160930084,20319.09496977379,44241.12039024001,61227.48599934471,30492.88331122125,27575.438064314167
