년도,자치구,점포수,연도별_평균_상권_매출금액,연도별_주중_평균_상권_매출금액,연도별_주말_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액,연도별_화요일_평균_상권_매출금액,연도별_수요일_평균_상권_매출금액,연도별_목요일_평균_상권_매출금액,연도별_금요일_평균_상권_매출금액,연도별_토요일_평균_상권_매출금액,연도별_일요일_평균_상권_매출금액,연도별_00_06_시간대_평균_상권_매출금액,연도별_06_11_시간대_평균_상권_매출금액,연도별_11_14_시간대_평균_상권_매출금액,연도별_14_17_시간대_평균_상권_매출금액,연도별_17_21_시간대_평균_상권_매출금액,연도별_21_24_시간대_평균_상권_매출금액,연도별_남성_평균_상권_매출금액,연도별_여성_평균_상권_매출금액,연도별_10대_평균_상권_매출금액,연도별_20대_평균_상권_매출금액,연도별_30대_평균_상권_매출금액,연도별_40대_평균_상권_매출금액,연도별_50대_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액
2017,강남구,85168,125455115.3109897,125578045.79740684,130068399.36063927,111881072.50743856,120938443.44597563,122698475.72814414,121920678.85805474,123295616.98446077,133089823.91840193,115742836.29160772,178795125.4537449,0.0,74589636.7481054,0.0,123107948.93731715,179124016.3449127,117377083.51831187,87354454.43957436,42017290.2036551,66975802.68863398,92949171.85703084,116539869.87137727,124265516.61089168,130405125.51692441
2017,강동구,35884,67253189.54354157,66373953.878362395,63124751.08494383,57858179.552306786,63774582.576014094,60658934.654297985,62965138.597029366,60226476.80673103,63787791.252860375,50139002.45866484,0.0,0.0,54294030.33353087,57127290.7285264,58982513.40362634,61796630.789386764,60425648.53390633,59752224.65628186,26941548.451489877,42564502.864606895,52528990.08468715,54416615.6299478,65011090.87250309,61898805.71113947
2017,강북구,24768,54805839.31785907,54144354.729624584,49684220.19742968,55580118.92486153,51128347.80424382,50490794.54956449,49714245.127075866,49678574.70016563,50052612.61994536,44392125.50083651,33242716.051118612,0.0,45076195.1542196,55249960.91681952,49382427.38053255,48754695.830716476,51366957.17615701,48843773.9752914,23066503.39477036,34431831.97017532,43155108.58135489,52397442.50698569,50094880.96547344,53768696.64219305
2017,강서구,35063,59929050.47171196,59792547.72792708,60428949.89390885,58673210.304315835,58964282.7312952,58762650.78506391,58996723.11143094,59645200.49775766,59281511.30183737,56688190.06178682,52898456.823756315,0.0,51883809.272637054,53449555.48477705,57947804.273487486,65392840.711160205,56179395.61129137,53318746.16752911,28645161.546703678,43240645.236798,52535672.57663029,57794090.91102964,61894786.34661398,60590378.896977164
2017,관악구,35685,66965274.79376368,67489490.55947894,55392652.574984804,0.0,57994812.318343304,64797418.86346419,65119738.13021572,62766817.98246672,55276091.82816227,51701307.48237134,43307993.45372265,50935086.24026469,59605842.13478582,59759846.363625675,56192783.09801983,55539805.10973346,60524579.88452645,56802636.140705675,0.0,42312269.11077889,48411570.84525806,53695253.044114545,63348684.78389954,70081322.67056872
2017,광진구,33625,61762299.28290358,60607586.31293498,61794949.642054334,59161340.01239944,60006196.70418812,57421193.20533661,62538891.18026547,61190372.86806506,61325824.94124313,55228930.73424927,0.0,0.0,48756722.72196519,63784304.18065564,63197779.54061941,63494854.90756865,70281853.7813894,52666268.43625498,25878897.295338888,40682200.100919664,49373405.52234222,57338679.85398134,68924764.0506853,62162512.28857967
2017,구로구,33925,60692734.56229395,59865571.0988842,57678683.92092166,58532238.071447626,58860725.01576809,59743961.261511974,57167901.89823031,54432110.08124305,57447313.14018105,52222969.86298609,45823442.37797027,51342069.302695446,47553025.208927624,59945154.89561158,59115192.933052264,59272727.20374759,57938038.29144761,50250959.98016919,23656742.405064154,39116518.27119061,48771236.15066731,51636734.70967057,58833690.44430485,0.0
2017,금천구,27511,60925826.29012264,60868756.3599407,42330002.30193294,51731237.47214236,44898869.04315898,51525926.64124744,49558149.35017758,47456942.80341226,41721227.1619528,40693841.85554402,0.0,0.0,47555469.962602004,50040155.790929176,55666155.08831274,0.0,57566616.05239827,39477764.417766824,18430199.644556202,31047351.479058456,53002355.36188328,41351620.210835114,45936066.59221072,58217718.186420895
2017,노원구,24748,35237898.84503852,34946096.92263796,35194914.253323846,32972448.010592606,33440958.417223714,34978134.15632026,33502938.775308635,37250799.025610425,35388886.78200648,32848737.571270883,29137047.713315073,28035770.411179584,31042125.542310167,30615216.878582746,37827790.27278911,35766706.07589724,34554967.517159574,32849584.940859877,17921833.863643818,29223379.96874297,32320128.487198807,33811929.286049016,36934184.39276639,36664280.66619511
2017,도봉구,20438,39341960.20862129,39114218.1143703,38199124.120111525,35790577.30356986,36746656.72345198,36996940.12621272,39195671.88664541,39586664.0223271,37262722.57507024,36661376.8765864,26352194.47833199,0.0,34154287.51363914,38102799.8727216,38437573.200609304,36185488.368989654,38336522.38306246,37164435.380150415,0.0,25717508.093474247,35368570.48310235,36900181.381863326,39916548.73586683,38310702.61180276
