자치구,인구,세대수,성비,년도,면적,가구수,one,출생건수,사망건수,혼인건수,이혼건수,인력수,차량수,1인세대수,면적대비1인세대,외국인비율,인구밀도,세대당인구,출생률,사망률,혼인률,이혼률,one비율,인구대비one,면적대비one
종로구,152737,72118,0.97,2016,23.91,60786,22835,846.0,823.0,760.0,260.0,120,67,34698.0,1451.1919698870763,0.0737357493049632,6387.996654119615,2.1178762583543636,5.53893293700937,5.3883472897857105,4.975873560433949,1.7022725338326667,0.3756621590497812,0.14950535888488053,955.0397323295692
중구,125249,59651,0.99,2016,9.96,51503,19671,959.0,669.0,799.0,249.0,150,72,28368.0,2848.192771084337,0.0848994296007205,12575.20080321285,2.099696568372701,7.656747758465138,5.34136001085837,6.379292449440714,1.988039824669259,0.38193891617964004,0.15705514614887145,1974.9999999999998
용산구,230241,106607,0.94,2016,21.87,90164,31641,1708.0,1137.0,1366.0,441.0,95,62,48131.0,2200.777320530407,0.069685273885974,10527.709190672153,2.15971746695808,7.4183138537445545,4.938303777346346,5.932913772959638,1.9153843146963399,0.35092719932567323,0.13742556712314488,1446.7764060356653
성동구,299259,128727,0.98,2016,16.86,116401,37074,2531.0,1304.0,1944.0,547.0,0,0,49318.0,2925.14827995255,0.0395590586044452,17749.64412811388,2.324757043976788,8.45755683204181,4.357429517575077,6.496045231722354,1.8278481181852508,0.3185024183641034,0.12388599841608773,2198.932384341637
광진구,357215,158390,0.96,2016,17.06,146196,53169,2767.0,1344.0,2285.0,649.0,0,0,65896.0,3862.6025791324737,0.0537178609110934,20938.745603751468,2.2552875812866975,7.746035300869225,3.7624399871226015,6.396707865011268,1.8168329997340538,0.36368300090289746,0.14884313368699523,3116.588511137163
동대문구,355069,159426,1.0,2016,14.21,145179,52650,2383.0,1921.0,1796.0,666.0,145,92,68367.0,4807.805907172996,0.0514003770619708,24987.262491203375,2.227171226776059,6.711371592563698,5.41021604251568,5.058171791961562,1.8756917669523387,0.3626557559977683,0.14828103833339434,3705.1372273047145
중랑구,411005,177400,0.99,2016,18.5,157571,45717,3085.0,2013.0,2591.0,933.0,147,56,67162.0,3630.3783783783774,0.0193105458855466,22216.486486486487,2.316826381059752,7.5059914112967,4.897750635637036,6.304059561319206,2.2700453765769275,0.2901358752562337,0.11123222345226944,2471.189189189189
성북구,450355,188304,0.95,2016,24.58,174370,54117,3060.0,2139.0,2131.0,833.0,123,79,69093.0,2810.943856794142,0.030703219452484,18322.009764035804,2.3916379896337836,6.794639784170266,4.749586437366077,4.731822673224456,1.8496519412463501,0.3103572862304295,0.12016520300651708,2201.6680227827505
강북구,327195,141229,0.97,2016,23.6,125580,36668,1965.0,1845.0,1500.0,722.0,0,0,52653.0,2231.0593220338983,0.018737111999371,13864.194915254237,2.3167692187865097,6.00559299500298,5.638839224315775,4.584422133590061,2.206635186968016,0.29198917025003984,0.11206772719632024,1553.728813559322
도봉구,348220,136898,0.97,2016,20.67,125384,28296,2249.0,1819.0,1636.0,670.0,78,52,40157.0,1944.6489104116224,0.0113768728302576,16846.637639090466,2.5436456339756606,6.458560680029866,5.223709149388317,4.698179311929239,1.924070989604273,0.2256747272379251,0.08125897421170525,1368.9404934687952
