행정동,점포수,주택수,외국인비율,아파트_실거래수,연도별_평균_상권_매출금액,다가구주택_실거래비율,다가구주택_평균거래면적,면적
화양동,0.4519102,0.21502855,0.4046004,0.06756582,0.20882279,0.25198928,0.22967616,0.23452967
군자동,0.4214072,0.18498302,0.33632544,0.03790278,0.2992801,0.40440217,0.24888478,0.14961375
중곡1동,0.21632132,0.14669527,0.09351041,0.058502115,0.2514796,0.30832466,0.25280038,0.12535207
중곡2동,0.16972487,0.20244192,0.062034946,0.058502115,0.18573803,0.30832466,0.25280038,0.111199416
중곡3동,0.18397824,0.15713,0.05817623,0.058502115,0.20184496,0.30832466,0.25280038,0.12130845
중곡4동,0.13903111,0.29907483,0.047993153,0.058502115,0.25840548,0.30832466,0.25280038,0.46905935
능동,0.27648652,0.10276383,0.08296148,0.00082397345,0.410771,0.47094935,0.33144924,0.22239883
광장동,0.1771068,0.4201908,0.02079937,0.32546952,0.269687,0.036625102,0.17261896,0.483212
자양1동,0.26140788,0.21916996,0.16204563,0.43588197,0.27278382,0.16990852,0.25446638,0.11524303
자양2동,0.16156222,0.2868942,0.062479176,0.43588197,0.20974837,0.16990852,0.25446638,0.33966368
자양3동,0.14823966,0.34844694,0.040770352,0.43588197,0.18151832,0.16990852,0.25446638,0.2426169
자양4동,0.1875911,0.18729734,0.80376524,0.43588197,0.2495769,0.16990852,0.25446638,0.23452967
구의1동,0.29412833,0.21092774,0.118395604,0.19528171,0.2536285,0.13428025,0.27749157,0.11322122
구의2동,0.1061501,0.2980598,0.06308201,0.19528171,0.22480004,0.13428025,0.27749157,0.28103125
구의3동,0.36362246,0.36826077,0.04157046,0.19528171,0.30265456,0.13428025,0.27749157,0.20622437
